Item,Description,Direct Metals ECE,Direct Ice ECE,Direct Organic ECE,Direct Deuterium ECE,Sub-components,Total Metals ECE,Total Ice ECE,Total Organic ECE,Total Deuterium ECE,Container Space,Build Time
"waypoint bookmark","A transmitting beacon placed on an object such as an asteroid or planet, or set in orbit around a star or gas giant. Its message can be read by every Neumann probe present in the sector.","0.01","","","","","0.01","","","","0.01","10m"
"steel bar","A rigid structural bar used in frames, rails, braces, and heavy mechanical assemblies.","0.02","","","","","0.02","","","","0.01","5m"
"steel plate","A flat reinforced plate suited to hull patches, container walls, and broad mounting surfaces.","0.02","","","","","0.02","","","","0.01","5m"
"additional container","A fold-out storage module that expands the probe cargo volume once assembled.","","","","","12× steel plate | 15× steel bar","0.54","","","","0","3m"
"micro conductor","A precision conductor etched at microscopic scale for high-density electronic paths.","0.04","","","0.01","","0.04","","","0.01","0.005","10m"
"ceramic insulator","A heat-stable insulating part grown from volatile ice and carbon compounds.","","0.03","0.04","0.01","","","0.03","0.04","0.01","0.005","10m"
"crystal substrate","A polished crystalline base that keeps printed circuits aligned and thermally stable.","0.08","0.03","","0.02","","0.08","0.03","","0.02","0.005","15m"
"dopant matrix","A controlled impurity matrix that tunes semiconductor behavior during atomic printing.","0.04","","0.03","0.02","","0.04","","0.03","0.02","0.002","15m"
"integrated circuit","A dense logic component combining conductors, insulators, substrate, and dopants.","","","","0.05","2× micro conductor | 2× ceramic insulator | 1× crystal substrate | 1× dopant matrix","0.2","0.09","0.11","0.13","0.001","20m"
"electric motor","A compact rotary actuator that converts stored electrical energy into mechanical motion.","0.02","","","","1× steel plate | 2× steel bar","0.08","","","","0.006","15m"
"battery pack","A rechargeable power pack for mobile tools, actuators, and autonomous Manny systems.","0.03","0.02","0.06","0.02","","0.03","0.02","0.06","0.02","0.008","20m"
"linear actuator","A precise push-pull mechanism used wherever a Manny needs controlled force.","0.01","","","","2× steel plate | 1× steel bar | 1× electric motor","0.15","","","","0.01","20m"
"atomic printer part","A precision replacement block printed at atomic scale for high-energy fabrication systems.","","","","0.05","2× micro conductor | 1× ceramic insulator | 1× crystal substrate | 1× dopant matrix","0.2","0.06","0.07","0.12","0.01","45m"
"deuterium engine","A compact propulsion module that channels stored deuterium through printed control parts.","","","","0.5","4× steel plate | 1× integrated circuit | 2× electric motor | 1× battery pack | 1× linear actuator | 1× atomic printer part","0.82","0.17","0.24","0.77","0.06","2.0h"
"solar panel","A foldable photovoltaic panel with printed conductors, crystal substrate, and a reinforced mounting plate.","0.02","","","","1× steel plate | 2× micro conductor | 1× ceramic insulator | 1× crystal substrate","0.2","0.06","0.04","0.05","0.015","30m"
"scut relay","A long-range SCUT communication relay module with its own solar power array, buffer batteries, control circuits, and deployable structure.","","","","","32× steel plate | 28× steel bar | 5× integrated circuit | 4× electric motor | 6× battery pack | 2× linear actuator | 4× solar panel","3.8","0.81","1.07","0.97","0.12","48.0h"
"thermal protection shell","A disposable ablative shell that protects a storage container during atmospheric entry.","","","0.06","0.02","4× steel plate | 8× ceramic insulator","0.08","0.24","0.38","0.1","0.035","40m"
"parachute pack","A folded braking canopy pack with compact deployment hardware for cargo descents.","","0.05","0.18","","2× steel plate | 2× steel bar","0.08","0.05","0.18","","0.045","30m"
"descent guidance module","A small avionics and actuator package for limited steering during a cargo drop.","","","","0.03","2× steel plate | 2× integrated circuit | 1× battery pack | 2× linear actuator","0.77","0.2","0.28","0.31","0.035","40m"
"atmospheric drop kit","A disposable descent kit for dropping one storage container through an atmosphere with ablative shielding, parachute braking, and limited steering authority.","","","","","4× steel plate | 2× steel bar | 1× thermal protection shell | 1× parachute pack | 1× descent guidance module","1.05","0.49","0.84","0.41","0.08","1.0h"
"manny","A fully assembled maintenance unit able to repair, mine, carry cargo, and build new parts.","","","","","18× steel plate | 12× steel bar | 6× integrated circuit | 12× electric motor | 4× battery pack | 6× linear actuator","3.78","0.62","0.9","0.86","0.05","1.0h"
